********************************************************************************
* Mon Jan  7 11:54:56 2013 UTC
* lumitype: PIXEL , datatag: pixelv0 , normtag: PIXELV1 , worktag: HEAD
* 
* by:
* /afs/cern.ch/work/m/mmerola/CMSSW_4_4_5/bin/slc5_amd64_gcc434/pixelLumiCalc.py
* 
* update: NONE
********************************************************************************
[WARNING] lumi or trg for selected run/ls 172033 746 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172033 747 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172033 748 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172033 749 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166408 1232 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166408 1233 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166408 1234 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166408 1235 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166408 1236 not in lumiDB
[WARNING] lumi or trg for selected run/ls 162828 83 not in lumiDB
[WARNING] lumi or trg for selected run/ls 162828 84 not in lumiDB
[WARNING] lumi or trg for selected run/ls 162828 85 not in lumiDB
[WARNING] lumi or trg for selected run/ls 173439 755 not in lumiDB
[WARNING] lumi or trg for selected run/ls 173439 756 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165402 28 not in lumiDB
[WARNING] lumi or trg for selected run/ls 160431 216 not in lumiDB
[WARNING] lumi or trg for selected run/ls 160431 217 not in lumiDB
[WARNING] lumi or trg for selected run/ls 160431 218 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163869 121 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163869 122 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163869 123 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172868 1968 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172868 1969 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172868 1970 not in lumiDB
[WARNING] lumi or trg for selected run/ls 172635 268 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171578 972 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171578 973 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171578 974 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163387 254 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163387 255 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163387 256 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166462 524 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166462 525 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166462 526 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166923 466 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166923 467 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166923 468 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166923 469 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166923 470 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163340 479 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163340 480 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163340 481 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163340 482 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163340 483 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163340 484 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163340 485 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163340 486 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163340 487 not in lumiDB
[WARNING] lumi or trg for selected run/ls 163340 488 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165970 331 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165970 332 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165970 333 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165970 334 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165970 335 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166895 602 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166895 603 not in lumiDB
[WARNING] lumi or trg for selected run/ls 162909 283 not in lumiDB
[WARNING] lumi or trg for selected run/ls 162909 284 not in lumiDB
[WARNING] lumi or trg for selected run/ls 162909 285 not in lumiDB
[WARNING] lumi or trg for selected run/ls 162909 286 not in lumiDB
[WARNING] lumi or trg for selected run/ls 162909 287 not in lumiDB
[WARNING] lumi or trg for selected run/ls 162909 288 not in lumiDB
[WARNING] lumi or trg for selected run/ls 162909 289 not in lumiDB
[WARNING] lumi or trg for selected run/ls 162909 290 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166502 104 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166502 105 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166502 106 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166502 107 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166502 108 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166502 109 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166486 167 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166486 168 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166486 169 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166486 170 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166486 171 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166486 172 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166486 173 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166486 174 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171117 80 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171117 81 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171117 82 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171117 83 not in lumiDB
[WARNING] lumi or trg for selected run/ls 171117 84 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165487 146 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165487 147 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165487 148 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165487 149 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165487 150 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165487 151 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166514 460 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166514 461 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166514 462 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166514 463 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166514 464 not in lumiDB
[WARNING] lumi or trg for selected run/ls 160873 134 not in lumiDB
[WARNING] lumi or trg for selected run/ls 160873 135 not in lumiDB
[WARNING] lumi or trg for selected run/ls 160873 136 not in lumiDB
[WARNING] lumi or trg for selected run/ls 160873 137 not in lumiDB
[WARNING] lumi or trg for selected run/ls 160873 138 not in lumiDB
[WARNING] lumi or trg for selected run/ls 160873 139 not in lumiDB
[WARNING] lumi or trg for selected run/ls 160873 140 not in lumiDB
[WARNING] lumi or trg for selected run/ls 160873 141 not in lumiDB
[WARNING] lumi or trg for selected run/ls 160873 142 not in lumiDB
[WARNING] lumi or trg for selected run/ls 160873 143 not in lumiDB
[WARNING] lumi or trg for selected run/ls 160873 144 not in lumiDB
[WARNING] lumi or trg for selected run/ls 160873 145 not in lumiDB
[WARNING] lumi or trg for selected run/ls 160873 146 not in lumiDB
[WARNING] lumi or trg for selected run/ls 160873 147 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166011 83 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166530 62 not in lumiDB
[WARNING] lumi or trg for selected run/ls 166530 63 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165514 562 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165514 563 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165514 564 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165514 565 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165514 566 not in lumiDB
[WARNING] lumi or trg for selected run/ls 165514 567 not in lumiDB
[WARNING] lumi or trg for selected run/ls 173198 816 not in lumiDB
