********************************************************************************
* Tue Dec 18 09:58:39 2012 UTC
* lumitype: PIXEL , datatag: pixelv0 , normtag: PIXELV1 , worktag: HEAD
* 
* by:
* /afs/cern.ch/work/m/mmerola/CMSSW_4_4_5/bin/slc5_amd64_gcc434/pixelLumiCalc.py
* 
* update: NONE
********************************************************************************
[WARNING] lumi or trg for selected run/ls 180241 415 not in lumiDB
[WARNING] lumi or trg for selected run/ls 180241 416 not in lumiDB
[WARNING] lumi or trg for selected run/ls 180250 539 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177184 37 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177184 38 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177184 39 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177184 40 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177184 41 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176169 134 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176169 135 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176169 136 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176169 137 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176169 138 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176169 139 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176169 140 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177201 795 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177201 796 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177201 797 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177201 798 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177201 799 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178738 247 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178738 248 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178738 249 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178738 250 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178738 251 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178738 252 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177222 337 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177222 338 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177222 339 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177222 340 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177222 341 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177222 342 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176207 227 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176207 228 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176207 229 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176207 230 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178786 224 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178786 225 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178786 226 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178786 227 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177776 106 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177776 107 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177776 108 not in lumiDB
[WARNING] lumi or trg for selected run/ls 175976 99 not in lumiDB
[WARNING] lumi or trg for selected run/ls 175976 100 not in lumiDB
[WARNING] lumi or trg for selected run/ls 175976 101 not in lumiDB
[WARNING] lumi or trg for selected run/ls 175976 102 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178803 452 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178803 453 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178803 454 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178803 455 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178803 456 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178803 457 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177789 86 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176771 151 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176771 152 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176771 153 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176771 154 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176771 155 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176771 156 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176289 69 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176289 70 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176289 71 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176289 72 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176289 73 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176289 74 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176289 75 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176805 97 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176807 455 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176807 456 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176807 457 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176807 458 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176807 459 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176807 460 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176807 461 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178985 78 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178985 79 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178985 80 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178985 81 not in lumiDB
[WARNING] lumi or trg for selected run/ls 179889 527 not in lumiDB
[WARNING] lumi or trg for selected run/ls 179889 528 not in lumiDB
[WARNING] lumi or trg for selected run/ls 179889 529 not in lumiDB
[WARNING] lumi or trg for selected run/ls 179889 530 not in lumiDB
[WARNING] lumi or trg for selected run/ls 179889 531 not in lumiDB
[WARNING] lumi or trg for selected run/ls 179889 532 not in lumiDB
[WARNING] lumi or trg for selected run/ls 179889 533 not in lumiDB
[WARNING] lumi or trg for selected run/ls 179889 534 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176844 109 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176844 110 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178380 188 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178380 189 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178380 190 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178380 191 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178380 192 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178380 193 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178380 194 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178380 195 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177878 845 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177878 846 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177878 847 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177878 848 not in lumiDB
[WARNING] lumi or trg for selected run/ls 177878 849 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176868 495 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178920 289 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178920 290 not in lumiDB
[WARNING] lumi or trg for selected run/ls 178920 291 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176765 129 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176765 130 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176765 131 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176765 132 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176765 133 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176765 134 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176765 135 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176765 136 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176765 137 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176765 138 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176765 139 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176765 140 not in lumiDB
[WARNING] lumi or trg for selected run/ls 176765 141 not in lumiDB
